Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,7,82,5,Some Random Commen with Id 0
1,1,8,164,3,Some Random Commen with Id 1
2,1,8,21,7,Some Random Commen with Id 2
3,1,8,66,6,Some Random Commen with Id 3
4,1,8,7,0,Some Random Commen with Id 4
5,1,8,24,6,Some Random Commen with Id 5
6,2,5,89,4,Some Random Commen with Id 6
7,2,5,62,7,Some Random Commen with Id 7
8,2,5,42,1,Some Random Commen with Id 8
9,2,5,97,0,Some Random Commen with Id 9
10,2,5,28,1,Some Random Commen with Id 10
11,2,5,54,0,Some Random Commen with Id 11
12,2,5,123,4,Some Random Commen with Id 12
13,2,5,191,4,Some Random Commen with Id 13
14,3,1,176,8,Some Random Commen with Id 14
15,3,1,179,7,Some Random Commen with Id 15
16,3,1,83,8,Some Random Commen with Id 16
17,3,1,145,2,Some Random Commen with Id 17
18,3,1,27,6,Some Random Commen with Id 18
19,3,1,77,5,Some Random Commen with Id 19
20,4,7,122,4,Some Random Commen with Id 20
21,4,7,98,1,Some Random Commen with Id 21
22,4,7,143,9,Some Random Commen with Id 22
23,4,7,57,3,Some Random Commen with Id 23
24,4,7,139,5,Some Random Commen with Id 24
25,5,7,47,6,Some Random Commen with Id 25
26,5,7,76,8,Some Random Commen with Id 26
27,5,7,5,3,Some Random Commen with Id 27
28,5,7,192,6,Some Random Commen with Id 28
29,5,7,86,4,Some Random Commen with Id 29
30,5,7,103,8,Some Random Commen with Id 30
31,5,7,34,3,Some Random Commen with Id 31
32,6,6,8,1,Some Random Commen with Id 32
33,6,6,154,5,Some Random Commen with Id 33
34,6,6,54,6,Some Random Commen with Id 34
35,6,6,198,4,Some Random Commen with Id 35
36,7,0,105,8,Some Random Commen with Id 36
37,7,0,6,3,Some Random Commen with Id 37
38,7,0,77,4,Some Random Commen with Id 38
39,7,0,154,8,Some Random Commen with Id 39
40,7,0,122,2,Some Random Commen with Id 40
41,7,0,148,4,Some Random Commen with Id 41
42,7,0,129,9,Some Random Commen with Id 42
43,7,0,146,2,Some Random Commen with Id 43
44,8,1,104,8,Some Random Commen with Id 44
45,8,1,123,5,Some Random Commen with Id 45
46,8,1,61,5,Some Random Commen with Id 46
47,9,8,168,1,Some Random Commen with Id 47
48,9,8,5,0,Some Random Commen with Id 48
49,9,8,152,3,Some Random Commen with Id 49
50,10,8,81,6,Some Random Commen with Id 50
51,10,8,149,5,Some Random Commen with Id 51
52,10,8,66,3,Some Random Commen with Id 52
53,11,8,178,5,Some Random Commen with Id 53
54,11,8,56,6,Some Random Commen with Id 54
55,11,8,27,6,Some Random Commen with Id 55
56,11,8,137,8,Some Random Commen with Id 56
57,11,8,168,7,Some Random Commen with Id 57
58,12,5,96,5,Some Random Commen with Id 58
59,13,7,116,3,Some Random Commen with Id 59
60,13,7,52,8,Some Random Commen with Id 60
61,13,7,21,4,Some Random Commen with Id 61
62,13,7,194,7,Some Random Commen with Id 62
63,13,7,166,4,Some Random Commen with Id 63
64,15,5,2,8,Some Random Commen with Id 64
65,15,5,13,5,Some Random Commen with Id 65
66,15,5,152,7,Some Random Commen with Id 66
67,15,5,101,1,Some Random Commen with Id 67
